Karolina Stasiak,European Union,Head
Mr. Sam Waldock,"Foreign - Commonwealth & Development Office (FCDO)",Deputy High Commissioner and Development Director - British High Commission
Ms. Sarah Bloom,"Economic Development - FCD Office - British High Commission","Head of Economic Development | FCD Office | Zambia - British High Commission"
Karolina Stasiak,EU Ambassador,Ambassador
Mr. Raubil Olaniyi Durowoju,African Development Bank,Country Manager
Ms. Paola Gosparini,European Union,Senior Programme Manager - Private Sector Development
Ms. Stefan Lutz,HMKW,Professor
Amb. Takeuchi Kazuyuki,Japanese Embassy,Ambassador
Mr. Enerst Sakala,African Development Bank,Private Sector Investments Officer
Ms. Sheryl Stumbras,USAID Zambia,Mission Director
Amb. Pirjo Suomela Chowdhury  ,Finnish Embassy,Ambassador
Amb. Du Xiaohui,Chinese Embassy,Ambassador
Ms. Shupi Mweene,USAID Zambia Business Enabling Project,Deputy Chief of Party
Mr. Stephen Malulu,USAID Zambia Business Enabling Project,Monitoring and Evaluation Manager
Mr. Pontino Tembo ,USAID Zambia Business Enabling Project,Policy Research and Analysis
Mr. Alfred Chitalu ,USAID Zambia Business Enabling Project,Economist
Mr. Salim Kaunda,USAID Zambia,"Economist, Policy and governance"
Mr. Mark Luring,EU-Zambia Business Club,President
Mr.  Edward Koos,USAID R4G,Chief of Party
Ms. Agatha Mulenga Siwale,USAID R4G,
Mr.  Tom Tonken Musonda,USAID R4G,Fellow of the UN SDSN
Ms. Daria Gage  ,USAID Business Enabling Project,Chief of party
Mr. Pritchard Mukuka,Netherlands Development Organization (SNV),Renewable Energy Specialist
Mr. Claudio Bacigalupi,EU Delegation to Zambia and COMESA,Head of Corporation
Amb. Micheal Gonzales,US Embassy  ,Ambassador
Amb. Francois Goldblatt,French Embassy ,Ambassador
Amb. Nicholas Wooley,British Embassy,Ambassador
Ms. Senait Mekete Ayele,IFC,Resident Representative
Mr. Peter Nuamah,IFC,"Senior Operation Officer/ Regional Lead - Ethiopia | Zambia | Malawi"
Ms. Susan Marie Lund,IFC,Vice President
Mr. Sergio Pimenta,IFC,Vice President
Mr.Madalo Minofu,IFC,Country Manager
Ms.Mary Porter Peschka,IFC,Regional Director
Beza Hailu Woldegiorgi,IFC,Operations Officer
Prasoon Raghuwanshi,IFC,Senior Investment Officer
Raj Raina,IFC,Investment Officer
Gokhan Akinci,IFC,Principal Operations Officer
Mr. Eric Igor Lautier,IMF,Resident Representative
