Mr. Matanda Mwewa ,Solar Industry Association of Zambia,Chairperson
Mr. Webster Nonde,Afrox Zambia Limited,Managing Director 
Mr. Chiluba Mumba,African Minigrid Developers' Association,Country Coordinator 
Prof. Lloyd Chingambo ,Off-Grid Task Force,Head
Prof. Thomson Sinkala ,Biofuels Association of Zambia,Chairman
Mr. Evans Mauta ,Indeni Petroleum Refinery Company Limited,Managing Director 
Mr. Linus Chanda ,Rural Electrification Authority,CEO
Eng. Suzyo Silavwe,Rural Electrification Authority,Acting Director Engineering Services
Dr. Chilala kakoma Bowa,Rural Electrification Authority,Director Strategy Planning
Mr. Kapungwe Chibamba,Rural Electrification Authority,Manager Project Planning
Ms. Shikanda Kangwa,Rural Electrification Authority,PR Assistant
Mr. Davison Thawete ,Tanzania-Zambia Mafuta (TAZAMA) Company Limited,Managing Director 
Mr. Maxwell Nkoya ,Zambia Environmental Management Agency,Acting Director General 
Dr. Joseph Simbaya ,Institute of Economic & Social Research,DIRECTOR
Ms. Caroline Royer ,Total Zambia PLC,MANAGING DIRECTOR
Mr. Richard Bennett,Sunbird Bioenergy Africa Limited,CEO
Ms. Mutale Pamela Kapekele ,Ngweru Solar Services / Open Net4O Zambia,CEO
Mr. Peter Vivian-Neal ,Kalahari Geo Energy Limited,CEO
