Costa Mwansa,Diamond TV,CHIEF VISIONARY OFFICER
Gerald Shawa,Prime TV,CEO
Akakulubelwa Akakandwela,Prime TV, MEDIA
Kenney Tonga,Power TV,CEO
Asan Nyama,Q TV,DIRECTOR
Henry Hamusankwa,Starsat TV,CEO
Stephen Nyirenda,Muvi TV,CEO
Moses Chiluba ,Camnet TV,CHAIRMAN
Daniel Pule,TBN TV,CEO
Inutu Himanje,ZNBC TV 2,ACTING DIRECTOR PROGRAMS
News Room,ZNBC, MEDIA
News Room,ZNBC, MEDIA
Rosina Mbewe,ZNBC TV 3,PROGRAM ORGANIZER
Steve Kawimbe                ,Parliament TV,DEPUTY CLERK (CORPORATE AFFAIRS)
Mary Lusibo                   ,BBC,HEAD OF BUSINESS DEVELOPMENT
Mwiza Sinyangwe,Christian Voice,RADIO MANAGER
Musanide Mbewe        ,Modern Voice,CEO
Mukamba Mwenda,Kwitu FM,CEO
Chiselwa Mulenga,Phoenix,SALES AND MARKETING EXECUTIVE
Gertrude Malama,Yatsani,CEO
Thomas Mukandawire,5 FM,STATION MANAGER
Leonard Kawana,Rock FM,CEO
Paul Kamumgulu,Metro,CEO
Patricia Chibiliti,Millennium,EXECUTIVE DIRECTOR
Derick Sinjela,Pan African,STATION MANAGER
Mr. Lucky Cheelo Munakampe,Munati TV,MANAGING DIRECTOR
