Mr. Joseph Mwansa ,Federation of Small-Scale Mining Associations of Zambia (FESSMAZ),PRESIDENT
Mr. Victor Kalesha ,Emerald & Semi-Precious Stones Mining Association of Zambia,PRESIDENT
Mr. Isaac Mwaipopo ,Centre for Trade Policy and Development,EXECUTIVE DIRECTOR
Ms. Angela Mwape Mulenga ,Consumer Unity & Trust Society,NATIONAL COORDINATOR
Mr. Sokwani Chilembo ,Zambia Chamber of Mines,CEO
Ms. Adriana Paula Blesa ,Association of Zambian Mineral Exploration Companies (AZMEC),PRESIDENT
Mr. Evans Kanche ,Association of Zambian Mineral Exploration Companies (AZMEC),IMMEDIATE PAST PRESIDENT
Ms. Mara Myra Ngoma ,Zambia Federation of Employers,PRESIDENT
Mr. Harrington Chibanda,Zambia Federation of Employers,CEO
Mr. Boniface Nguni ,Geological Society of Zambia,PRESIDENT
Dr. Ndoba Joseph Vibetti,ZCCM Investment Holdings PLC,CEO
Dr. Sixtus Mulenga ,Musamu Resources Limited,CHAIRMAN
Ms. Grace Njapau ,Association of Zambian Women in Mining,IMMEDIATE PAST PRESIDENT
Ms. Namakau Kaingu ,Association of Zambian Women in Mining,PRESIDENT
