Mr. Leonard Mwanza,Bankers Association of Zambia,CEO
Ms. Catherine Makala,Zambia Association of Pension Fund Managers,CHAIRPERSON
Mr. Engwase Mwale,Financial Sector Deepening Zambia,CEO
Ms. Janice Matwi,ACCA,COUNTRY DIRECTOR
Mr. Alexander Lawrence,Lusaka Chamber of Commerce,PRESIDENT
Mr. Collins Hamusonde,ABSA Life,MANAGING DIRECTOR
Mr. Anthony Bwembya,Zambia Institute of Chartered Accountants,CEO
Mr. Robert Phiri,Payments' Association of Zambia,ACTING CEO
Mr. Ade Ayeyemi,Ecobank,CEO
Mr. James Koni,Atlas Mara,CEO
Ms. Mukwandi Chibesakunda,ZANACO,CEO
Kalaluka Itwi,ZANACO, CFO
Chali Mwefyeni,ZANACO, CCO
Chanda Chime Katongo,ZANACO, Head Client Solutions | Corporate Communications | Marketing
Kyembe Kyalusanza,ZANACO, Head Communications
Bwalya Chokolo Mundashi,ZANACO, Head Of Marketing
Sophia Mudenda,ZANACO, Senior Relationship Manager
Mr. Sonny Zulu,Standard Chartred Bank,MANAGING DIRECTOR
Mr. Jason Kazilimani,KPMG,CEO
Mr. Kwenda Kachiza,Prudential life Assurance,CEO
Mr. Rodney Mbewe,Diamond Equity,MANAGING DIRECTOR
Ms. Mwenzi Mulenga,Bayport,GENERAL MANAGER
Ms. Lishala C. Situmbeko,Access Bank,CEO
Mr. Antony Ranjan,PKF Auditors,MANAGING PARTNER
Mr. Maximo Mulenga,AB Bank,CEO
Mr. Malcolm Chabala,NATSAVE,CEO
Mr. Simangolwa Shakalima,Investrust Bank Zambia Ltd,MANAGING DIRECTOR
Mr. Mwinda Siakalima,Stanbic Bank,CEO
Mr. Kuldip Paliwal,First Alliance Bank,CEO
Mr. Bydon Longwe,FNB,CEO
Mr. Maybin Muyawala,Development Bank of Zambia,ACTING MD
