Mr. Keira Langford Johnson,Board of Airlines / Proflight Zambia Limited,CHAIRPERSON
Mr. Osama Bux,Travel Agents | Association of Zambia,PRESIDENT
Mr. Muyumbwa Ndiyoi,National Heritage Conservation Commission,ACTING EXECUTIVE DIRECTOR
Mr. George Mudenda,National Museums Board,ACTING DIRECTOR GENERAL
Mr. Maxwell Masempela,Zambia Association of Tour Operators,CHAIRMAN
Mr. Mulemwa Moongwa,MICE Academy,CEO
Mr. Victor Inambwae,Tourism Council of Zambia,CEO
Mr. Christopher Nsenje,Hotel and Catering Association of Zambia,PRESIDENT
Mr. Chris O'Donnell,Tourism Council of Zambia,Vice Chairman 
Mr. Adrian Coley,Luangwa Safaris Association,Chairman
Mr. Ed Jan Der Heide,Kafue Park Operators,Managing Director
Mr. Ian Robinson,The Wildlife Producers Association Zambia,Chairman
