Ms. Chileshe M Banda,Abundance Foods LTD,CEO
Ms. Magaret K Siwale,NondeKnox Consulting LTD,CEO
Ms. Martha Mitizhe Kangwa,Nsansala Convervancy LTD,CEO
Ms. Maureen Sumbwe,ZFAWIB,CEO
Ms. Monde Sikufele,Goldenlink Investment LTD,CEO
Ms. Njeckwa Lumbwe,Bushemic Clinic,CEO
Ms. Racheal Kaunda,ZFAWIB,DIRECTOR
Ms. Pamela K Mutale,Ngweru Solar Services,CEO
Ms. Betty D Chilonde,Bulongo Pieces,CEO
Ms. Kim Otteby,Umoyo Natural Health,CEO
Ms. Thelma Kilale,Onmark Solutions,CEO
Ms. Nancy N Kawandami,Zambia Federation of Women in Business,CHAIRPERSON
Ms. Hope Mambwe,WEAC,CHAIRPERSON
